Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шинкаренко,Єфрем,Федорович,Чоловік,2004.02.27,Модельєр,село Новояворівськ,"площа Тиха, буд. 580 кв. 704, Борислав, 58288",096 16 24,semennehoda@example.net
Баранець,Одарка,Русланович,Жінка,1952.06.16,Письменник,місто Тернопіль,"набережна Басейний 2-й, буд. 72 кв. 251, Кременець, 90224",+380 (14) 578-76-10,zynoviiiemelianenko@example.org
Ґалаґан,Ярина,Юхимівна,Жінка,1971.10.21,Геофізик,селище Роздільна,"узвіз Марсельська, буд. 3 кв. 592, Тисмениця, 94622",867 86 12,irynashvaika@example.com
Венгринович,Клавдія,Семенівна,Жінка,1973.02.09,Лікар,селище Миргород,"набережна Житкова, буд. 274 кв. 00, Старокостянтинів, 93015",053 381 26 05,danylo26@example.com
Канівець,Єлисавета,Вікторівич,Жінка,2003.04.21,Петрограф,село Кипуче,"сквер Севастопольський, буд. 7 кв. 58, Арциз, 14221",381 86 61,ntymchenko@example.net
Даценко,Вадим,Федосіївна,Чоловік,1962.05.17,Випробувач,село Коростень,"провулок Наявний 6-й, буд. 881, Христинівка, 88663",052 805-83-52,sviatoslava44@example.com
Бабиченко,Сергій,Григоріївич,Чоловік,1991.01.03,Кушнір,селище Вільногірськ,"проспект Гвоздичний, буд. 3, Кам'янка-Бузька, 72508",937 90 48,shukhevychfeofan@example.com
Лесик,Ігнат,Мартінівна,Чоловік,1999.01.07,Астроном,місто Благовіщенське,"парк Толбухіна, буд. 020, Нове Давидково, 30157",622 65 18,rhrechko@example.com
Дергач,Вадим,Феофанівна,Чоловік,1961.01.08,Мінералог,хутір Антрацит ,"сквер Технічний, буд. 5 кв. 050, Сорокине, 69788",+380 48 027 69 86,umanetstymofii@example.com
Іващенко,Костянтин,Євстахіївна,Чоловік,1979.05.13,Слідчий,селище Хуст,"узвіз Академічний, буд. 309 кв. 301, Соледар, 33604",+380 34 367 11 83,udakhno@example.net
Симоненко,Устим,Захарівна,Чоловік,1960.06.11,Дипломат,місто Вижниця,"сквер Курортний 6-й, буд. 68, Березівка, 32046",985-61-64,ihohol-ianovskyi@example.com
Коваленко,Дарина,Зеновіївна,Жінка,1999.06.30,Бухгалтер,село Апостолове,"сквер 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 345 кв. 859, Алмазна, 43765",+380 96 851-38-69,amvrosiitsisyk@example.net
Атаманюк,Галина,Валентинівна,Жінка,2002.10.23,Адвокат,селище Тисмениця,"провулок Лінія 26-та, буд. 8, Стебник, 32760",084 92 98,gshtepa@example.org
Івасюк,Емілія,Юстиніанівна,Жінка,1982.09.06,Кінолог,хутір Джанкой,"парк Басейний 1-й, буд. 02, Обухів, 16113",292-83-77,marusiacherinko@example.com
Ємець,Христина,Мелентіївна,Жінка,1975.03.23,Ветеринар,селище Великі Мости,"набережна Котляревського, буд. 6, Донецьк, 50197",090 430-54-66,iustymromanets@example.net
Андрейко,Алевтин,Філаретівна,Чоловік,1992.08.24,Маркетолог,місто Карлівка,"набережна Деревообробний 4-й, буд. 02 кв. 03, Вишневе , 74990",+380 11 497 87 78,ieromenkovadym@example.org
Євдокименко,Ігнат,Савеліївна,Чоловік,1988.06.02,Локсмайстер,село П'ятихатки,"площа Локомотивний 4-й, буд. 9 кв. 946, Ялта, 29996",433-04-97,galaganviktoriia@example.net
Іваненко,Гордій,Олексійович,Чоловік,1960.07.24,Реставратор,місто Хмельницький,"вулиця Старопортофранківська, буд. 51 кв. 884, Прилуки, 60417",+380 (45) 858-03-40,liudmylaizhak@example.com
Яремків,Аарон,Захарович,Чоловік,1990.03.11,Парфюмер,місто Біляївка,"площа Героїв Небесної Сотні, буд. 3, Ялта, 20120",872-31-06,ivanshvaika@example.net
Москаль,Теодор,Григоріївич,Чоловік,1990.05.20,Архітектор,село Волноваха,"провулок Бучми, буд. 0, Балаклія, 88347",490 02 59,vshamrai@example.org
Вітрук,Герман,Дмитрович,Чоловік,1976.07.18,Медик,село Монастириська,"шосе Лінія 38-ма, буд. 69 кв. 537, Жмеринка, 83723",611 72 64,hennadii79@example.com
Цимбал,Камілла,Савеліївна,Жінка,1992.03.14,Стропальник,місто Прип'ять ,"проспект Східний 1-й, буд. 20 кв. 27, Мелітополь, 59703",+380 64 289 16 60,kyrylenkoprokhir@example.net
Лаба,Емілія,Валеріївна,Жінка,1955.07.13,Ювелір,місто Апостолове,"парк 13-та Суворовська, буд. 341 кв. 831, Корсунь-Шевченківський, 06306",+380 (93) 062-43-98,opanas61@example.com
Вертипорох,Віолетта,Мстиславівна,Жінка,2004.06.27,Клавішник,селище Хоростків,"сквер Банний, буд. 703, Скалат, 75903",+380 92 570 27 22,eduardivasiuk@example.org
Макаренко,Світлана,Вітольдівна,Жінка,1954.03.08,Дизайнер,село Снятин,"провулок Туристський, буд. 335, Косів, 09238",128 21 44,iierchenko@example.com
Гриценко,Устим,Никифорівна,Чоловік,1997.01.24,Біолог,хутір Новоград-Волинський,"провулок Віцеадмірала Жукова, буд. 5 кв. 01, Вишневе , 14834",+380 66 774 03 26,tereshchenkoruslan@example.com
Вітрук,Дмитро,Макарович,Чоловік,1968.07.10,Провізор,місто Путивль,"парк Ползунова 2-й, буд. 2, Маріуполь, 82767",060 622 87 96,havryshamvrosii@example.net
Балабан,Трохим,Іларіонівна,Чоловік,1977.09.21,Шериф,село Покров,"парк Ніжинська, буд. 82, Тростянець, 40633",591 68 28,ikanivets@example.net
Барабаш,Хома,Мстиславівна,Чоловік,1984.10.27,Модельєр,хутір Євпаторія,"парк Український 3-й, буд. 127 кв. 5, Ізюм, 38784",+380 (19) 779-90-00,gerusemiliia@example.com
Скопенко,Аарон,Мелентіївна,Чоловік,1960.04.05,Кушнір,село Устилуг,"сквер Академіка Векслера, буд. 9, Вугледар, 35827",370 07 46,petropiatachenko@example.net
Бевз,Ярема,Дмитрович,Чоловік,1997.01.18,Мікробіолог,місто Роздільна,"проспект Махачкалинська, буд. 77 кв. 255, Долина , 40959",+380 36 352 54 48,serhiishvachko@example.com
Ярош,Юстина,Всеславівна,Жінка,1986.05.22,Випробувач,місто Ровеньки,"сквер Італійський, буд. 096, Алчевськ, 24757",+380 14 690-92-94,svitlana93@example.org
Затула,Камілла,Юхимівна,Жінка,1997.11.30,Журналіст,село Щастя ,"сквер Шкодова гора, буд. 90, Рені, 27928",+380 01 764-84-15,stepan32@example.com
Данильчук,Златослава,Лаврентіївна,Жінка,1986.12.15,Штукатур,село Христинівка,"вулиця Український 3-й, буд. 394 кв. 6, Бережани, 81788",224 05 81,okseniia99@example.org
Шевченко,Сніжана,Володиславівна,Жінка,1959.12.05,Єгер,хутір Скадовськ,"набережна Залізничний 3-й, буд. 501 кв. 053, Прилуки, 89880",+380 (99) 723-51-95,bohodar60@example.org
Демиденко,Богуслав,Олексійович,Чоловік,1972.04.22,Клавішник,місто Сулимівка (Слов'янськ),"провулок Скворцова, буд. 54, Бердянськ, 69690",026 296-64-81,nholyk@example.org
Рудько,Стефан,Аркадіївна,Чоловік,1959.10.23,Мікробіолог,хутір Очаків,"парк Восьмого березня 7-й, буд. 67, Соледар, 20368",475 93 54,kdeineka@example.net
Ніколюк,Зиновій,Спартаківна,Чоловік,1997.04.04,Журналіст,село Краматорськ,"шосе Перемоги, буд. 17, Бар, 03231",092 763-82-31,havryloumanets@example.net
Височан,Устим,Несторович,Чоловік,1970.09.22,Випробувач,село Білицьке,"узвіз 7-ма Лінія Дачі Ковалевського, буд. 06 кв. 856, Кам'янка-Дніпровська, 53813",079 549 13 75,sviatoslav08@example.com
Асаула,Микита,Казимирівна,Чоловік,1965.04.05,Сантехнік,село Сорокине,"проспект Пролетарський 3-й, буд. 12, Апостолове, 26266",938-24-27,vasylynaviter@example.org
Жарко,Леон,Дмитрович,Чоловік,1975.12.19,Юрист,хутір Новоукраїнка,"провулок Маршрутна, буд. 6, Богуслав, 64273",+380 51 380-95-46,izhakevychhanna@example.com
Онуфрієнко,Валентина,Ізмаїлівна,Жінка,1985.02.15,Електротехнік,місто Алупка,"проспект Героїв оборони Одеси, буд. 63 кв. 319, Красногорівка, 55166",436-55-63,valentyna76@example.net
Харченко,Едита,Ростиславівна,Жінка,1984.07.21,Електромонтажник,село Ровеньки,"набережна Прирейкова, буд. 8 кв. 70, Валки , 92474",+380 53 194-11-66,les19@example.com
Арсенич,Орина,Святославівна,Жінка,1963.10.08,Кінорежисер,хутір Миронівка,"парк Проектований 3-й, буд. 0 кв. 13, Черкаси, 15686",096 516-01-30,fomenkomykhailyna@example.net
Джус,Світлана,Юстиніанівна,Жінка,2006.08.03,Музикознавець,місто Ічня,"шосе Елеваторна, буд. 2, Миргород, 10789",+380 (77) 368-63-95,ilchenkomyroslav@example.org
Чумаченко,Данило,Гаврилівна,Чоловік,1986.11.12,Електромонтажник,селище Новоград-Волинський,"набережна 5-та Суворовська, буд. 159, Костопіль, 49671",+380 66 473 71 26,okhrim17@example.org
Оніщук,Віталій,Іларіонівна,Чоловік,1958.09.03,Слідчий,хутір Верхівцеве,"парк Олександра Невського, буд. 5 кв. 30, Угнів, 14449",824 87 58,liudmylakorolenko@example.org
Романчук,Яків,Феофанівна,Чоловік,2000.08.16,Композитор,хутір Овруч,"сквер Нікітіна, буд. 178 кв. 250, Кам'янка-Дніпровська, 85761",+380 41 641-61-10,oryna52@example.org
Дрозденко,Йосип,Марківна,Чоловік,1982.05.20,Гінеколог,місто Миколаїв,"сквер Котляревського, буд. 80 кв. 1, Шахтарськ, 78030",+380 77 788-11-02,holykhavrylo@example.net
Артимович,Охрім,Соломонівна,Чоловік,1985.06.05,Піаніст,село Знам'янка,"узвіз Шовкуненка, буд. 27 кв. 873, Яремче, 29723",+380 58 054-35-27,vasylynaishchak@example.com
Ґоляш,Іван,Ісааківна,Чоловік,1965.12.11,Краєзнавець,хутір Миколаївка ,"узвіз Москеті, буд. 22, Антрацит , 58370",+380 (02) 503-78-44,khrystychliubov@example.org
Ґоляш,Данна,Олесьович,Жінка,1951.09.16,Патологоанатом,селище Судак ,"вулиця Рішельєвська, буд. 9, Апостолове, 66611",+380 (47) 669-09-58,bohdanna12@example.net
Дутка,Лариса,Тимофіївна,Жінка,1961.03.31,Бухгалтер,хутір Люботин,"набережна Байкал тупик, буд. 5 кв. 316, Інкерман, 01066",+380 89 615-62-99,levko59@example.com
Скиба,Еріка,Іоаннівна,Жінка,1973.05.11,Вчитель,село Кремінна,"вулиця Чернишевського, буд. 5, Покровськ, 44869",020 616 16 18,erika49@example.net
Данько,Світлана,Климентівна,Жінка,2007.01.13,Математик,село Лисичанськ,"сквер Чорноморський 8-й, буд. 945 кв. 4, Надвірна, 26447",+380 34 408 82 23,valeriiakulenko@example.net
Вітер,Леонід,Анісіївна,Чоловік,1978.08.06,Ботанік,селище Білогірськ,"сквер Петра Лещенка, буд. 26 кв. 75, Новогродівка, 59647",+380 38 774 12 09,zakharasaula@example.net
Чумаченко,Веніямин,Феодорівна,Чоловік,1984.01.19,Намотувальник,місто Самбір,"проспект Новгородська, буд. 684, Красноград, 89985",+380 92 786 64 53,gkovalenko@example.net
Ватаманюк,Соломон,Олексійович,Чоловік,1986.10.08,Громадський діяч,село Роздільна,"провулок Героїв оборони Одеси, буд. 43, Угнів, 50894",085-59-76,nsomko@example.net
Артимишин,Святослав,Лаврентіївна,Чоловік,1960.03.03,Ботанік,хутір Торецьк,"вулиця Амурський 1-й, буд. 7, Вознесенськ, 47771",+380 68 533 05 25,suprunenkoleonid@example.net
Щириця,Федір,Феофанівна,Чоловік,1967.10.19,Клоун,місто Сміла,"парк Вапняний 2-й, буд. 5 кв. 6, Єнакієве, 01645",578 12 49,klymentnesterenko@example.org
Остапчук,Георгій,Іоаннівна,Чоловік,1977.05.12,Пілот,місто Заводське,"вулиця Депутатський, буд. 8 кв. 199, Джанкой, 09031",092 675 08 04,hanna33@example.net
Гоголь-Яновський,Златослава,Ростиславівна,Жінка,1964.10.28,Прокурор,хутір Полтава,"вулиця Академіка Ясиновського, буд. 978, Лебедин, 61940",631 60 13,lukianlazarenko@example.net
Ільєнко,Святослава,Захарівна,Жінка,1985.10.18,Євнух,місто Кривий Ріг,"вулиця Крилова, буд. 4 кв. 173, Золоте, 39673",805-60-47,iaremenkohavrylo@example.org
Батюк,Тереза,Агапіївна,Жінка,1951.11.27,Географ,селище Свалява,"проспект Коблевська, буд. 77 кв. 10, Білогірськ, 30615",030 128-16-84,iurchukvarfolomii@example.org
Удовиченко,Христина,Феофанівна,Жінка,1951.06.13,Складальник,хутір Новомосковськ,"сквер Дюківський сад, буд. 5 кв. 83, Молочанськ, 14900",270 77 70,tshvedchenko@example.com
Кальченко,Орхип,Тихонівна,Чоловік,1983.02.05,Сценарист,хутір Чигирин,"шосе Поштова, буд. 97 кв. 9, Тлумач, 81649",072 281 53 92,marianamiroshnychenko@example.net
Дацюк,Омелян,Гаврилівна,Чоловік,1994.08.12,Конструктор,хутір Новоазовськ,"узвіз Восьмого березня 1-й, буд. 5, Костянтинівка, 90964",+380 16 184 20 14,wisaienko@example.net
Адамчук,Вадим,Антігонівна,Чоловік,2001.07.16,Сантехнік,селище Глухів,"парк Чорноморський 3-й, буд. 9 кв. 73, Городня, 21246",053 190 01 58,pelekhvioletta@example.net
Семенченко,Орест,Савеліївна,Чоловік,1965.06.21,Сантехнік,хутір Бучач,"парк Пересипський узвіз, буд. 55 кв. 23, Барвінкове, 06036",094 861-11-15,ubabii@example.org
Байда,Богдан,Натанович,Чоловік,1969.09.29,Педагог,селище Алмазна,"парк Пролетарський 3-й, буд. 64, Ніжин, 15845",717 84 73,iakovenkonazar@example.com
Макаренко,Марко,Зосимівна,Чоловік,1999.08.04,Машиніст,селище Яготин,"провулок Машинобудівний, буд. 30 кв. 6, Ворожба, 17728",078 930 63 02,telizhenkoartem@example.org
Малишко,Святослава,Андриянівна,Жінка,1998.12.23,Клавішник,хутір Первомайський ,"сквер Чубаївська, буд. 6 кв. 99, Середина-Буда, 20196",+380 81 777-18-96,shcherbakamvrosii@example.net
Бездітко,Богданна,Григоріївна,Жінка,1967.04.30,Фотограф,село Тетіїв,"набережна Гетьманський, буд. 5 кв. 315, Старий Крим, 36140",+380 85 110-62-21,pylyp87@example.com
Зайченко,Лариса,Кирилівна,Жінка,2005.10.08,Кухар,селище Стрий,"провулок Юрженка Олександра, буд. 170, Олешки, 28678",949-31-87,danylenkopylyp@example.com
Сацюк,Альбіна,Афанасіївна,Жінка,1996.02.24,Електрослюсар,хутір Ворожба,"узвіз Новосельского, буд. 918, Теребовля, 19037",+380 90 974-77-59,viktor53@example.com
Карась,Роман,Дорофіївна,Чоловік,1991.03.20,Адвокат,селище Одеса,"проспект Мала Арнаутська, буд. 89 кв. 7, Бережани, 71301",090 153-77-39,nalyvaikohlib@example.com
Рак,Ростислав,Ярославівна,Чоловік,1974.05.12,Модельєр,хутір Полонне,"сквер Сирітський 2-й, буд. 4, Липовець, 38918",501-89-30,ihrytsenko@example.org
Вернигора,Амвросій,Соломонівна,Чоловік,1988.09.09,Мікробіолог,село Київ,"парк Мусіна, буд. 2 кв. 14, Пустомити, 06154",+380 05 955-30-02,ihnat59@example.org
Ісаєвич,Тарас,Тихонівна,Чоловік,1969.05.25,Перекладач,селище Залізне,"набережна Солонцюватий 1-й, буд. 5 кв. 48, Сколе, 44352",+380 (90) 813-27-52,whaidabura@example.net
Гоголь,Ярослав,Миронівна,Чоловік,1951.08.06,Кушнір,селище Сніжне,"узвіз Черняховського, буд. 319, Лубни, 84640",+380 06 281-81-47,zorian13@example.net
Тесленко,Зорян,Мірілівна,Чоловік,1972.11.04,Педагог,село Зеленодольськ,"площа Проектований 4-й, буд. 7 кв. 1, Бурштин , 10107",+380 (72) 389-55-92,vieromenko@example.net
Єрошенко,Ірена,Семіонівна,Жінка,1967.08.14,Підприємець,хутір Токмак,"провулок Воронцовський, буд. 927 кв. 574, Географія Вільнянська, 56289",029 870-93-02,ciatsenko@example.com
Примаченко,Мілена,Глібівна,Жінка,1970.12.14,Епідеміолог,селище Новий Калинів,"набережна Романа Кармена, буд. 6 кв. 458, Ірпінь, 84674",+380 (37) 271-63-32,demyd61@example.com
Носаченко,Надія,Ярославівна,Жінка,1998.04.15,Намотувальник,місто Сулимівка (Слов'янськ),"вулиця Сашка Хорошенка, буд. 784 кв. 712, Татарбунари, 65023",+380 53 590-38-96,msimashkevych@example.net
Романець,Сніжана,Левівна,Жінка,1992.12.04,Юрист,місто Радомишль,"шосе Студентський 2-й, буд. 673 кв. 59, Угнів, 66282",+380 01 611 68 28,antonbezborodko@example.net
Засенко,Антон,Мстиславівна,Чоловік,1994.05.26,Мірошник,село Первомайськ,"сквер Сєрогодського, буд. 80, Бучач, 18383",013 157-41-84,iaroslavatsisyk@example.com
Левченко,Тарас,Мартінівна,Чоловік,1955.11.05,Громадський діяч,село Семенівка,"площа Канатна, буд. 057 кв. 827, Олександрія, 75956",083 600-83-04,irvanetsvioletta@example.net
Баштан,Панас,Дорофіївна,Чоловік,1956.12.24,Нотаріус,хутір Бобринець,"парк Волниста, буд. 83 кв. 112, Монастириська, 74103",001 378-62-99,oksanaiarosh@example.net
Деряжний,Орхип,Андронімівна,Чоловік,1995.05.19,Державний службовець,хутір Первомайськ,"вулиця Шевченка парк, буд. 26, Світловодськ, 42586",222-62-51,anton64@example.org
Чабан,Геннадій,Марківна,Чоловік,1971.04.03,Кушнір,селище Іловайськ,"площа Раїси Сергієнко, буд. 41 кв. 7, Довжанськ, 72263",+380 56 617 57 96,derehusartem@example.net
Ґерус,Омелян,Святославівна,Чоловік,1991.02.06,Кур'єр,хутір Голубівка,"площа Декабристів, буд. 17 кв. 3, Тальне, 83250",+380 60 067 19 79,triabets@example.com
Удовиченко,Віолетта,Юхимівна,Жінка,2005.09.16,Громадський діяч,село Кропивницький,"площа Дюківський сад, буд. 310 кв. 98, Перемишляни, 82161",+380 14 961-67-57,tarashrechanyk@example.org
Гузій,Марта,Єфросинівна,Жінка,1992.12.12,Льотчик,село Молочанськ,"вулиця Жоліо-Кюрі, буд. 0 кв. 197, Олешки, 99048",045 221 73 54,dereviankokyrylo@example.com
Рудик,Єва,Лаврентіївна,Жінка,1985.02.24,Швачка,село Сторожинець,"набережна Стовпова, буд. 399, Буринь, 16237",030 644 64 63,zhaivoronazar@example.com
Саєнко,Оксана,Костянтинівна,Жінка,1995.07.16,Мовознавець,селище Новоазовськ,"набережна Соляний 4-й, буд. 96 кв. 301, Сніжне, 84588",952-44-73,drobakhaviktoriia@example.net
Дашенко,Степан,Назаріївна,Чоловік,1966.11.21,Державний службовець,село Гола Пристань,"проспект Єнісейська, буд. 46 кв. 018, Вуглегірськ, 59823",+380 63 377 60 68,hennadii96@example.org
Яременко,Орест,Мелентіївна,Чоловік,1957.04.13,Круп'є,село Єнакієве,"сквер Тимірязєва, буд. 2 кв. 6, Іллінці, 44709",+380 44 214-31-10,liudmylazaika@example.org
Рубан,Охрім,Маркелівна,Чоловік,1998.12.04,Бібліотекар,хутір Червоноград,"сквер Басейний 4-й, буд. 14 кв. 2, Вільнянськ, 89822",+380 (39) 405-77-55,anitavermenych@example.com
Тесля,Болеслав,Мелентіївна,Чоловік,1961.08.30,Кур'єр,село Старий Крим,"проспект Собінова, буд. 555, Красногорівка, 30366",489-14-60,petrokarpa@example.com
Воблий,Євген,Альбертівна,Чоловік,1999.10.03,Астроном,село Українськ,"парк Рощева, буд. 7, Апостолове, 47569",495 03 33,marusiahavrysh@example.org
Вертипорох,Веніямин,Захарович,Чоловік,1968.01.23,Будник,селище Довжанськ,"набережна Чорноморський 4-й, буд. 1 кв. 255, Генічеськ, 93774",+380 (43) 035-81-65,myronmykhailychenko@example.com
Корпанюк,Оксана,Федосіївна,Жінка,1984.04.28,Фотограф,місто Тетіїв,"провулок Ломоносова, буд. 5 кв. 161, Надвірна, 55629",085 311-90-22,kyrylodrozdenko@example.org
Єрмоленко,Ірина,Даніїлівна,Жінка,1995.08.14,Електротехнік,хутір Камінь-Каширський,"площа Локомотивний 3-й, буд. 5 кв. 217, Тростянець, 65208",001 935 10 01,anitazaiets@example.org
Гаврилів,Варвара,Юхимович,Жінка,1955.04.12,Локсмайстер,селище Хоростків,"проспект Лінія 40-ва, буд. 259 кв. 947, Путивль, 35331",974 79 50,orkhypverkhola@example.com
Засядько,Варвара,Симонівна,Жінка,1975.09.22,Філолог,місто Соледар,"сквер Академіка Векслера, буд. 83 кв. 73, Тячів, 54256",000 615-31-47,hfilipenko@example.net
Вернидуб,Роман,Мар’янович,Чоловік,1983.01.27,Хореограф,місто Гірник ,"сквер Смоленська, буд. 577, Скадовськ, 21413",+380 (89) 244-48-99,dmedvedenko@example.net
Бабійчук,Костянтин,Ярославівна,Чоловік,1987.02.20,Головний меркшейдер,селище Тетіїв,"вулиця Спаський, буд. 2, Енергодар, 95237",086-83-75,fiaremchuk@example.net
Цюцюра,Соломон,Вадимівна,Чоловік,2007.07.08,Фармацевт,село Миронівка,"проспект Скворцова, буд. 0 кв. 58, Дружківка, 22359",702-07-04,klavdiiadavydenko@example.com
Назаренко,Хома,Левівна,Чоловік,1969.03.20,Нотаріус,село Голубівка,"парк Качалова, буд. 7, Берестечко, 88645",+380 56 844-75-43,deinekoleon@example.com
Кибкало,Тарас,Анісіївна,Чоловік,1960.07.25,Астронавт,місто Радомишль,"узвіз Ломоносова, буд. 42, Ірпінь, 07986",010 540 35 38,heorhiiiaremchuk@example.net
Сич,Хома,Андронімівна,Чоловік,1980.05.01,Сантехнік,хутір Міусинськ,"парк Стовпова, буд. 77, Бердянськ, 11340",038-48-73,drozdspas@example.com
Гузь,Галина,Артемівна,Жінка,2005.09.18,Гірничий інженер,селище Синельникове,"набережна ПшеничнаРадищева, буд. 9, Новий Калинів, 63594",+380 (74) 063-53-35,ostapabramenko@example.org
Зінкевич,Едита,Федосіївна,Жінка,2004.12.05,Мірошник,місто Торецьк,"узвіз Прокатна, буд. 41, Здолбунів, 09948",001 474 94 98,ntiahnybok@example.net
Андрощук,Володимира,Аркадіївна,Жінка,1988.06.14,Провізор,селище Судак ,"набережна Вапняний 2-й, буд. 987, Новодністровськ, 51603",023 078-65-81,npiddubnyi@example.com
Супруненко,Марʼяна,Трифонівна,Жінка,1991.09.08,Хореограф,село Краматорськ,"узвіз Миколаївська дорога, буд. 36, Верхньодніпровськ, 60667",078 929-63-57,korzhmakar@example.net
Девдюк,Ярема,Антігонівна,Чоловік,1986.11.15,М'ясник,хутір Липовець,"шосе Косяченка Олексія, буд. 9, Корсунь-Шевченківський, 81895",361-04-79,iesypenkokamilla@example.net
Безбородько,Вʼячеслав,Климентівна,Чоловік,1990.08.25,Державний службовець,село Армянськ,"провулок Лузанівка, буд. 8 кв. 8, Ізяслав, 63471",+380 75 190-47-72,danyliukihnat@example.net
Яремчук,Теодор,Олексіївна,Чоловік,1984.04.15,Юрист,село Тараща,"площа Іванівський переїзд, буд. 4 кв. 837, Дубно, 40564",+380 43 259-72-16,vitrukbohuslava@example.net
Копитко,Богуслав,Всеславівна,Чоловік,1974.06.06,Мірошник,село Ічня,"узвіз Леваневського, буд. 7, Ужгород, 24284",+380 03 866-23-62,ielysaveta22@example.org
Якимчук,Геннадій,Вадимівна,Чоловік,1993.02.16,Літературознавець,село Глобине,"набережна Закарпатська, буд. 7 кв. 68, Новомиргород, 83475",039 369-43-07,ielysei43@example.net
Гайда,Вадим,Юліанівна,Чоловік,1967.09.16,Хореограф,місто Верхівцеве,"шосе Байдарочний, буд. 6, Черкаси, 42156",031 252 19 16,stanislav08@example.com
Юрченко,Єлисавета,Русланович,Жінка,1995.09.23,Режисер,село Очаків,"площа Дежньова, буд. 16, Тлумач, 13463",+380 30 176-66-22,jpylypenko@example.net
Дурдинець,Аніта,Назаріївна,Жінка,1969.10.28,Нотаріус,місто Щолкіне,"сквер Квітнева, буд. 772 кв. 116, Бахчисарай, 41466",026 767 59 72,ctsybulenko@example.com
Шухевич,Данна,Іракліївна,Жінка,1987.01.24,Хореограф,село Полонне,"набережна Канатна, буд. 40 кв. 81, Українка , 17853",+380 (18) 943-04-65,ihor70@example.net
Свириденко,Богданна,Левівна,Жінка,1980.06.10,Геофізик,хутір Жовті Води,"провулок Юннатів 3-й, буд. 0 кв. 2, Судак , 98092",+380 85 716-48-01,okseniiagoliash@example.net
Пʼятаченко,Августин,Григоріївич,Чоловік,2000.03.10,Пекар,селище Знам'янка,"проспект Чорноморський, буд. 011 кв. 6, Старий Самбір, 96454",+380 88 633-55-71,artemtsarenko@example.com
Таран,Ігор,Олексійович,Чоловік,1958.09.27,Кушнір,хутір Олександрія,"шосе Новиков міст, буд. 785 кв. 4, Золоте, 07349",096 613 26 27,makarenkohordii@example.net
Акуленко,Станіслав,Савеліївна,Чоловік,2001.01.31,Астроном,селище Люботин,"шосе Туристська, буд. 11, Перещепине, 39500",008 809 02 91,vitalii97@example.org
Свириденко,Адам,Костянтинівна,Чоловік,1953.02.22,Дизайнер,місто Городок,"парк Єлісаветинська, буд. 015 кв. 3, Первомайськ, 45394",062 321-15-83,levkovertyporokh@example.com
Литвин,Спас,Мартінівна,Чоловік,2000.07.27,Дерун,місто Тисмениця,"сквер Матроський узвіз, буд. 0, Рудки, 77242",+380 90 559-77-62,ustymderevianko@example.net
Ажажа,Климент,Давидович,Чоловік,1956.08.20,Ювелір,село Камінь-Каширський,"сквер Шовкуненка, буд. 3 кв. 1, Кам'янка-Дніпровська, 14340",+380 69 719-41-09,borys46@example.org
Гаврилець,Орися,Никифорівна,Жінка,1998.07.04,Дипломат,місто Гайсин,"узвіз Танфільєва, буд. 7, Болград, 08430",056 309-10-30,stefanhrechko@example.net
Палій,Юстина,Григоріївна,Жінка,1997.06.29,Музичний редактор,село Копичинці,"площа Пересипський міст, буд. 167, Мостиська, 21287",+380 69 737-64-32,bperepelytsia@example.com
Рева,Марʼяна,Юхиміанівна,Жінка,1986.12.21,Астроном,село Устилуг,"шосе Хімічна, буд. 734 кв. 34, Вуглегірськ, 21432",070 572 78 68,hryhorii51@example.org
Колесниченко,Дарина,Миронівна,Жінка,1979.10.07,Пекар,місто Довжанськ,"сквер Миколи Плигуна, буд. 62 кв. 368, Чоп, 76497",+380 (08) 528-56-25,arkhypenkoliliia@example.com
Дубина,Амвросій,Феофанівна,Чоловік,1956.11.16,Клоун,місто Жовті Води,"парк Лиманчик 2-й Лінія 2-га, буд. 5 кв. 7, Львів, 78653",838-04-96,lpavlyk@example.net
Дзюба,Ярослав,Анісіївна,Чоловік,1987.11.09,Композитор,селище Городок,"шосе Єліна, буд. 7, Хорол , 74591",024 926 55 14,herman34@example.org
Шинкаренко,Борислав,Григоріївич,Чоловік,1994.07.28,Детектив,хутір Кагарлик,"провулок Дерибасівська, буд. 758, Суми, 18697",595 95 51,onysymzaruba@example.net
Кальченко,Миколай,Болеславівна,Чоловік,1987.06.01,Режисер,село Суми,"провулок Хутірський, буд. 817 кв. 92, Знам'янка, 27353",+380 24 794 30 46,moskalteodor@example.com
Єрченко,Олег,Силуанівна,Чоловік,1959.12.07,Археолог,хутір Молочанськ,"площа Французький, буд. 98, Деражня, 34146",785 04 62,oleksa61@example.org
Журба,Марко,Левівна,Чоловік,1999.01.27,Географ,селище Золотоноша,"парк Обільний 1-й, буд. 478, Благовіщенське, 19286",004 371-36-97,dankoavrelii@example.org
Матяш,Тереза,Зосимівна,Жінка,1985.05.01,Електрик,село Новомосковськ,"вулиця Нахімова, буд. 7 кв. 275, Вовчанськ, 82666",349 04 46,orest30@example.net
